num_epochs,n_trials,best_hyperparameters,best_validation_reward,training_metrics,test_metrics,final_return_test_set (%)
220,10,"{'lr': 0.001364387386046817, 'batch_size': 64, 'hidden_dim': 32, 'gamma': 0.9586537658623439, 'epsilon_decay': 0.9941537198621135, 'tau': 0.0004516568874949343}",-0.009433962264150945,"{'win_rate': 0.7107692307692308, 'loss_rate': 0.10307692307692308, 'forced_rate': 0.0, 'none_rate': 0.18615384615384614}","{'avg_reward': np.float64(-0.2195845697329377), 'win_rate': 0.3887240356083086, 'loss_rate': 0.29673590504451036, 'forced_rate': 0.002967359050445104, 'no_trade_rate': 0.3115727002967359}",0.3870628039032429
220,10,"{'lr': 0.001364387386046817, 'batch_size': 64, 'hidden_dim': 32, 'gamma': 0.9586537658623439, 'epsilon_decay': 0.9941537198621135, 'tau': 0.0004516568874949343}",-0.009433962264150945,"{'win_rate': 0.7107692307692308, 'loss_rate': 0.10307692307692308, 'forced_rate': 0.0, 'none_rate': 0.18615384615384614}","{'avg_reward': np.float64(-0.2195845697329377), 'win_rate': 0.3887240356083086, 'loss_rate': 0.29673590504451036, 'forced_rate': 0.002967359050445104, 'no_trade_rate': 0.3115727002967359}",0.3870628039032429
