Open Time,open,high,low,Close,Volume,Developing POC,MA,MA.1
2024-01-01 16:30:00,2306.67,2312.58,2306.67,2312.58,0.14833,,,2298.1795238095237
2024-01-01 17:00:00,2312.58,2313.63,2309.75,2313.49,0.84174,,,2299.710476190476
2024-01-01 17:30:00,2313.49,2313.49,2310.0,2311.86,1.71167,,,2301.07
2024-01-01 18:00:00,2311.86,2329.05,2311.86,2329.05,0.20116,,,2303.2161904761906
2024-01-01 18:30:00,2329.05,2329.05,2323.67,2325.79,1.26027,,,2305.175238095238
2024-01-01 19:00:00,2325.79,2327.83,2321.62,2326.27,0.07967,,,2307.1338095238093
2024-01-01 19:30:00,2326.27,2339.22,2326.27,2334.98,8.03073,,,2309.220476190476
2024-01-01 20:00:00,2334.98,2344.73,2334.98,2341.62,4.15012,,,2311.253333333333
2024-01-01 20:30:00,2341.62,2341.62,2338.93,2338.93,1.5525,,,2313.158095238095
2024-01-01 21:00:00,2338.93,2342.35,2336.97,2336.97,0.03424,,,2314.8085714285717
2024-01-01 21:30:00,2336.97,2336.97,2334.13,2336.31,0.22174,,,2316.4338095238095
2024-01-01 23:00:00,2336.31,2340.22,2336.31,2339.41,1.55391,,,2318.1361904761907
2024-01-01 23:30:00,2339.41,2350.0,2339.41,2350.0,0.39799,,,2320.37380952381
2024-01-02 00:00:00,2350.0,2380.31,2350.0,2371.01,11.67208,,,2323.8223809523815
2024-01-02 00:30:00,2371.01,2388.31,2371.01,2387.23,3.63769,,,2327.8100000000004
2024-01-02 01:00:00,2387.23,2395.65,2360.3,2387.82,45.50217,,,2331.740952380953
2024-01-02 01:30:00,2387.82,2387.82,2372.7,2372.89,0.2463,,,2335.138571428572
2024-01-02 02:00:00,2372.89,2378.11,2372.89,2378.04,0.0264,,,2338.85380952381
2024-01-02 02:30:00,2378.04,2380.32,2375.55,2378.0,2.68721,,,2342.50380952381
2024-01-02 03:00:00,2378.0,2383.05,2371.6,2376.67,1.35834,,,2345.504285714286
2024-01-02 03:30:00,2376.67,2387.76,2375.74,2384.08,0.07859,,,2349.1904761904766
2024-01-02 04:00:00,2384.08,2385.76,2379.67,2379.67,0.04648,,,2352.3852380952385
2024-01-02 04:30:00,2379.67,2386.91,2379.67,2386.91,0.2901,,,2355.881428571429
2024-01-02 05:00:00,2386.91,2389.04,2386.13,2389.04,0.03806,,,2359.5566666666673
2024-01-02 05:30:00,2389.04,2389.04,2379.38,2379.38,0.71174,,,2361.953333333334
2024-01-02 06:00:00,2379.38,2380.07,2376.47,2380.07,0.02475,,,2364.5380952380956
2024-01-02 06:30:00,2380.07,2380.07,2376.01,2376.01,0.52041,,,2366.906666666667
2024-01-02 07:00:00,2376.01,2382.16,2375.99,2381.44,34.86599,,,2369.119047619048
2024-01-02 07:30:00,2381.44,2386.08,2376.35,2386.08,0.88199,,,2371.2361904761906
2024-01-02 08:00:00,2386.08,2415.76,2383.03,2414.15,4.86449,,,2374.818095238096
2024-01-02 08:30:00,2414.15,2426.17,2414.15,2426.05,2.70314,,,2379.0600000000004
2024-01-02 09:00:00,2426.05,2426.05,2420.77,2423.15,0.07919,,,2383.195238095239
2024-01-02 09:30:00,2423.15,2423.15,2412.77,2413.0,0.3204,,,2386.699523809524
