timestamp,SOL/USDT_2025_5T,BNSOL/USDT_2025_5T
2025-01-01 12:30:00,191.37,195.8
2025-01-01 12:35:00,191.55,196.0
2025-01-01 12:40:00,191.22,195.8
2025-01-01 12:45:00,190.57,195.1
2025-01-01 12:50:00,190.84,195.3
2025-01-01 12:55:00,190.95,195.6
2025-01-01 13:00:00,191.25,195.8
2025-01-01 13:05:00,190.39,194.9
2025-01-01 13:10:00,190.25,194.6
2025-01-01 13:15:00,189.85,194.4
2025-01-01 13:20:00,189.73,194.3
2025-01-01 13:25:00,189.69,194.3
2025-01-01 13:30:00,189.96,194.3
2025-01-01 13:35:00,189.93,194.5
2025-01-01 13:40:00,189.96,194.5
2025-01-01 13:45:00,190.3,194.9
2025-01-01 13:50:00,190.08,194.6
2025-01-01 13:55:00,190.25,194.9
2025-01-01 14:00:00,190.98,195.3
2025-01-01 14:05:00,190.88,195.3
2025-01-01 14:10:00,190.95,195.4
2025-01-01 14:15:00,190.56,195.1
2025-01-01 14:20:00,190.42,194.9
2025-01-01 14:25:00,189.95,194.4
2025-01-01 14:30:00,189.4,193.9
2025-01-01 14:35:00,190.04,194.6
2025-01-01 14:40:00,190.14,194.6
2025-01-01 14:45:00,190.65,195.2
2025-01-01 14:50:00,190.58,195.1
2025-01-01 14:55:00,190.88,195.4
2025-01-01 15:00:00,190.9,195.4
2025-01-01 15:05:00,190.81,195.2
2025-01-01 15:10:00,190.2,194.6
2025-01-01 15:15:00,190.58,195.0
2025-01-01 15:20:00,190.48,195.0
2025-01-01 15:25:00,190.54,195.0
2025-01-01 15:30:00,190.65,195.2
2025-01-01 15:35:00,190.89,195.4
2025-01-01 15:40:00,191.51,196.0
2025-01-01 15:45:00,191.94,196.4
2025-01-01 15:50:00,191.71,196.2
2025-01-01 15:55:00,191.91,196.4
2025-01-01 16:00:00,191.43,195.9
2025-01-01 16:05:00,191.71,196.3
2025-01-01 16:10:00,191.17,195.7
2025-01-01 16:15:00,190.86,195.4
2025-01-01 16:20:00,191.05,195.7
2025-01-01 16:25:00,191.1,195.7
2025-01-01 16:30:00,191.01,195.5
2025-01-01 16:35:00,191.18,195.9
2025-01-01 16:40:00,190.54,195.1
2025-01-01 16:45:00,190.83,195.4
2025-01-01 16:50:00,190.4,195.0
2025-01-01 16:55:00,190.51,195.2
2025-01-01 17:00:00,189.97,194.5
2025-01-01 17:05:00,189.91,194.4
2025-01-01 17:10:00,189.73,194.1
2025-01-01 17:15:00,189.39,193.8
2025-01-01 17:20:00,189.74,194.3
2025-01-01 17:25:00,189.85,194.2
2025-01-01 17:30:00,189.89,194.2
2025-01-01 17:35:00,190.05,194.6
2025-01-01 17:40:00,190.12,194.5
2025-01-01 17:45:00,189.66,194.0
2025-01-01 17:50:00,190.3,194.7
2025-01-01 17:55:00,190.64,195.0
2025-01-01 18:00:00,190.3,194.9
2025-01-01 18:05:00,190.11,194.7
2025-01-01 18:10:00,190.35,194.7
2025-01-01 18:15:00,190.54,194.9
2025-01-01 18:20:00,190.66,195.1
2025-01-01 18:25:00,190.76,195.1
2025-01-01 18:30:00,191.74,196.1
2025-01-01 18:35:00,191.87,196.5
2025-01-01 18:40:00,191.86,196.1
2025-01-01 18:45:00,191.84,196.4
2025-01-01 18:50:00,191.7,196.2
2025-01-01 18:55:00,191.68,196.1
2025-01-01 19:00:00,192.04,196.4
2025-01-01 19:05:00,191.98,196.5
2025-01-01 19:10:00,192.42,197.0
2025-01-01 19:15:00,192.46,196.9
2025-01-01 19:20:00,192.28,196.7
2025-01-01 19:25:00,192.37,196.7
2025-01-01 19:30:00,191.81,196.0
2025-01-01 19:35:00,192.34,197.0
2025-01-01 19:40:00,192.6,197.0
2025-01-01 19:45:00,193.62,198.3
2025-01-01 19:50:00,193.23,197.7
2025-01-01 19:55:00,193.1,197.9
2025-01-01 20:00:00,193.92,198.4
2025-01-01 20:05:00,193.66,198.4
2025-01-01 20:10:00,193.71,198.6
2025-01-01 20:15:00,193.42,198.0
2025-01-01 20:20:00,193.42,198.0
2025-01-01 20:25:00,193.77,198.5
2025-01-01 20:30:00,193.66,198.4
2025-01-01 20:35:00,193.75,198.5
2025-01-01 20:40:00,194.2,198.9
2025-01-01 20:45:00,194.51,199.1
2025-01-01 20:50:00,194.52,199.2
2025-01-01 20:55:00,194.36,198.9
2025-01-01 21:00:00,194.56,199.2
2025-01-01 21:05:00,193.98,198.7
2025-01-01 21:10:00,194.12,198.8
2025-01-01 21:15:00,194.57,199.2
2025-01-01 21:20:00,195.17,199.9
2025-01-01 21:25:00,195.07,199.8
2025-01-01 21:30:00,194.56,199.3
2025-01-01 21:35:00,194.26,199.0
2025-01-01 21:40:00,194.33,199.0
2025-01-01 21:45:00,194.2,198.8
2025-01-01 21:50:00,194.32,199.0
2025-01-01 21:55:00,194.69,199.1
2025-01-01 22:00:00,194.28,199.0
2025-01-01 22:05:00,193.74,198.4
2025-01-01 22:10:00,193.97,198.6
2025-01-01 22:15:00,194.05,198.8
2025-01-01 22:20:00,194.26,199.0
2025-01-01 22:25:00,194.11,198.8
2025-01-01 22:30:00,194.48,199.2
2025-01-01 22:35:00,194.53,199.2
2025-01-01 22:40:00,194.82,199.4
2025-01-01 22:45:00,194.7,199.4
2025-01-01 22:50:00,194.49,199.1
2025-01-01 22:55:00,194.53,199.2
2025-01-01 23:00:00,194.76,199.1
2025-01-01 23:05:00,194.82,199.5
2025-01-01 23:10:00,194.59,199.5
2025-01-01 23:15:00,194.11,198.8
2025-01-01 23:20:00,194.18,198.9
2025-01-01 23:25:00,194.24,198.9
2025-01-01 23:30:00,194.23,198.9
2025-01-01 23:35:00,194.09,198.8
2025-01-01 23:40:00,194.24,198.7
2025-01-01 23:45:00,194.0,198.8
2025-01-01 23:50:00,194.21,198.9
2025-01-01 23:55:00,194.28,198.9
2025-01-02 00:00:00,194.01,198.6
2025-01-02 00:05:00,194.04,198.7
2025-01-02 00:10:00,194.0,198.5
2025-01-02 00:15:00,193.64,198.4
