Strategy,Sharpe Ratio,Max Drawdown (%),Final Return (%)
Dynamic Agent,0.05043756371462009,6.488205142198774,7.831906506003737
" Fixed Strategy: Entry=3, Stop=4",0.03462607387277107,8.182671048862542,1.4975848149911934
" Fixed Strategy: Entry=2, Stop=3",0.006867756803844563,7.705201640073084,0.8033069433964167
" Fixed Strategy: Entry=1, Stop=2",0.0026777728027052605,9.765578350679958,0.4954653743883432
" Fixed Strategy: Entry=4, Stop=5",0.04184662280212816,0.756418814171421,0.2936603622494789
