Strategy,Annualized Sharpe Ratio,Max Drawdown (%),Final Return (%),Total # trades,Total # wins,Total # losses,Total # missed trades
Dynamic Agent,3.84065217974418,7.2712444704984085,31.40612985165741,268,176,92,141
" Fixed Strategy: Entry=2, Stop=3",3.243189816032681,5.239504030292208,26.48646494087581,157,100,57,253
" Fixed Strategy: Entry=4, Stop=5",2.978338175360468,2.044136642774641,6.306792748464527,16,12,4,394
" Fixed Strategy: Entry=1, Stop=2",0.5038181117059058,10.978570150601364,4.638389232827602,403,250,153,7
" Fixed Strategy: Entry=3, Stop=4",0.5201207253814245,13.888617755520983,3.184922603982853,56,45,10,354
