,Pair,Total return (%),Sharpe ratio,Max drawdown (%),Number of trades,Non-stop loss win rate (%),Mean trade duration/Reversion speed from threshold (mins),Average entry beta,Mean Absolute Percent Delta Beta (%),Median Absolute Percent Delta Beta (%),Beta series returns std (%),Beta series returns MAD (%),Average S1 trade returns (%),Average S2 trade returns (%)
0,CRVUSDT_2024_5m ~ XRPUSDT_2024_5m,14.20948766542496,0.0562760775640157,18.666837677994803,115,68.69565217391305,377.30434782608694,1.0759721073171347,178.95984032072866,29.903359758851273,236.49208718014282,0.522966099411204,-0.26187540166413864,-0.01381415985307133
0,SANDUSDT_2024_5m ~ XRPUSDT_2024_5m,31.16626071284381,0.15985198776818557,7.766875807437305,132,73.48484848484848,400.34090909090907,0.976142367138377,1282.0121369287574,25.148399575460918,93.2667633373446,0.4066933176593679,0.047070204071257504,-0.028945828431720885
0,AXSUSDT_2024_5m ~ XRPUSDT_2024_5m,44.72060616691807,0.2062750317601398,8.982767546141911,136,64.70588235294117,401.1397058823529,14.41169431152878,199.60066204218182,30.2914384122013,174.7841586060874,0.4532243526504054,-0.15274488907914396,-0.09335080210208281
0,ATOMUSDT_2024_5m ~ XRPUSDT_2024_5m,14.337482143732618,0.05509204050379288,14.473215840899774,122,60.65573770491803,418.4016393442623,15.589607843234388,83.48946263777817,26.892008099643526,141.1539922203583,0.5159614932136902,0.027086434049464495,-0.006982271998001443
0,AXSUSDT_2024_5m ~ DOTUSDT_2024_5m,6.081682455180578,0.035352568017434194,13.093735493884303,127,66.92913385826772,368.74015748031496,0.883853580479543,89.0890206144551,16.426911067112133,37.135478505288155,0.34896468884624277,-0.05151488747640144,0.10428316335706221
0,SANDUSDT_2024_5m ~ XLMUSDT_2024_5m,42.658257527882704,0.22509785023465337,6.276613593658177,127,65.35433070866141,394.7244094488189,5.286299942472063,77.65808748200104,15.564250427705565,13.996584371315562,0.2984056183976236,-0.3976412404309304,-0.33230124688414325
0,CRVUSDT_2024_5m ~ XLMUSDT_2024_5m,21.087287474880732,0.13849898467547872,6.342160982648815,104,54.807692307692314,429.4230769230769,4.596587689245876,129.1005890473987,25.13814835489139,16566.690005922937,0.42827454447531554,-0.09501589102512129,0.000582531335134093
0,ALGOUSDT_2024_5m ~ XRPUSDT_2024_5m,-2.9469079603855404,-0.011723640094396803,23.815696271901206,123,56.09756097560976,430.7317073170732,0.4410188743192503,76.17382954249892,26.346443148203633,458.2779255240775,0.46300355277324456,-0.2794514394683119,-0.24159281472277536
0,GALAUSDT_2024_5m ~ LTCUSDT_2024_5m,-58.39819100913828,-0.11444448234634648,68.62480625383587,118,54.23728813559322,446.90677966101697,0.0004477357151463865,133.16633244074313,38.954738244056934,155.84922244663406,0.5406318185648407,0.6608821313184952,-0.11423522630804739
0,ATOMUSDT_2024_5m ~ XLMUSDT_2024_5m,10.260247332849854,0.04550816831694453,10.605898564889142,113,56.63716814159292,340.04424778761063,69.45887172603067,648.53980281193,21.95039242728139,86.38039570698022,0.3839638164808368,0.026191225842024966,0.08856208255864952
0,MANAUSDT_2024_5m ~ XRPUSDT_2024_5m,26.465357028576737,0.14177080236892012,8.91692895334415,119,67.22689075630252,403.9075630252101,0.8294886471747329,82.96254910730747,28.111932517195722,70.08743774546693,0.4555411481225513,-0.24063082705555935,-0.28563004790875085
0,IOTAUSDT_2024_5m ~ XLMUSDT_2024_5m,28.190342367277992,0.24910817976441074,3.0549995072624507,122,69.67213114754098,361.6803278688525,2.6578662959764086,101.84219621692351,20.996481728471174,202.91603442709274,0.34578740947547315,-0.15110450930743144,-0.05008212245042526
0,XTZUSDT_2024_5m ~ XLMUSDT_2024_5m,54.81636631135053,0.30856796949472215,4.947092456093982,126,66.66666666666666,285.87301587301585,10.343336314920709,222.59304703373783,15.80982594397198,258.3639634589345,0.3273533762577552,-0.016473409715423912,-0.06642633403329881
0,ALGOUSDT_2024_5m ~ DOTUSDT_2024_5m,66.77919820307486,0.19705893039335393,11.823612700312674,127,55.118110236220474,358.503937007874,0.024143803464485306,60.19845744373198,14.146915438671355,161.85570713118247,0.33448935151192405,-0.2073989017616606,-0.08813978280558955
0,XTZUSDT_2024_5m ~ XRPUSDT_2024_5m,32.112344869987396,0.1812636282581023,11.191644550704698,123,69.10569105691057,418.5365853658537,2.2043367771895976,63.14586386968684,29.93888919241027,236.99647487089587,0.456145568723354,0.21825966494653773,0.167138587581253
0,FETUSDT_2024_5m ~ SHIBUSDT_2024_5m,20.581651915325313,0.02700352370205792,59.583084150233354,130,53.84615384615385,422.15384615384613,87148.2537140539,91.95982860243953,32.71464338525011,64.63155866899376,0.5172545182872468,-0.08501330945148622,0.406214247577456
0,FETUSDT_2024_5m ~ DOGEUSDT_2024_5m,33.82677784260802,0.08926983788796716,11.987974445793553,123,60.16260162601627,435.7317073170732,10.533385856908799,154.02069500755158,33.284618913945074,83.44188373709969,0.5256111983947265,-0.05868202564048476,0.07496904486297931
0,IOTAUSDT_2024_5m ~ XRPUSDT_2024_5m,22.145984417412024,0.09171201756799299,12.655263344469212,127,62.99212598425197,395.59055118110234,0.5742985582309745,68.08970990019766,26.648483978687892,686.1700524208779,0.4511548345902727,0.1500707754628813,-0.16393897123361492
0,SEIUSDT_2024_5m ~ ADAUSDT_2024_5m,15.330054486674904,0.06105306584494512,18.299495006485007,121,65.28925619834712,390.0,1.2921364149709773,123.74039273857825,28.995105272490026,106.76929158892581,0.5393542418192565,0.2671884947168165,0.13804343865291852
0,ATOMUSDT_2024_5m ~ ADAUSDT_2024_5m,8.327535282824371,0.032179476299640686,12.320302688857549,116,56.896551724137936,396.76724137931035,13.481153484786617,348.2332230827269,19.447035848217297,84.92718940452373,0.3791871523265433,0.0308009293876326,-0.22840144056860448
0,SEIUSDT_2024_5m ~ QNTUSDT_2024_5m,22.023861201107504,0.043821190731972784,34.09005729572623,120,60.83333333333333,400.25,0.006181522381232792,101.66777960518739,33.02564396865998,200.7450188362027,0.5891770681736852,0.39843714909331557,0.32833413876640793
0,FETUSDT_2024_5m ~ LTCUSDT_2024_5m,-50.22355207153383,-0.07783484512486304,60.120049597939115,112,58.03571428571429,426.1607142857143,0.03163534282094285,91.16928641425115,46.17445736420618,320.35077836814827,0.689894357766796,0.2992210195366075,0.12805845698565776
0,FILUSDT_2024_5m ~ XRPUSDT_2024_5m,-6.709251287260663,-0.02610263981939726,30.15154687525119,118,55.932203389830505,420.1694915254237,16.872010736696364,401.96742138388004,34.61777460129085,88.42261081428299,0.47754269456985465,-0.030537128017493916,-0.10694266867882411
0,THETAUSDT_2024_5m ~ SHIBUSDT_2024_5m,58.90087062127959,0.1739595894777754,9.850031010606296,129,60.46511627906976,377.2480620155039,113560.83371573467,121.22286203563601,30.190540591655108,64.73268933657558,0.4748991366379518,0.19712034507908455,0.2845014127501616
