,Pair,Total return (%),Sharpe ratio,Max drawdown (%),Number of trades,Non-stop loss win rate (%),Mean trade duration/Reversion speed from threshold (mins),Average entry beta,Mean Absolute Percent Delta Beta (%),Median Absolute Percent Delta Beta (%),Beta series returns std (%),Beta series returns MAD (%),Average S1 trade returns (%),Average S2 trade returns (%)
0,XRPUSDT_2024_5m ~ DOTUSDT_2024_5m,53.74352203714119,0.21928829724757073,11.294638908114475,142,64.7887323943662,333.9788732394366,0.03125444128575634,95.555372339029,35.93373822051106,119.22074223144004,0.44563879459156297,0.06698150093368957,0.0844391216384259
0,DOGEUSDT_2024_5m ~ LTCUSDT_2024_5m,-31.335555050393086,-0.0648844986511182,68.348435898881,137,60.58394160583942,430.6204379562044,0.001547215996813508,102.61229275367353,26.34813689952852,66.4229000116394,0.5096407567962924,0.053388110350642365,0.04675194025913894
0,XRPUSDT_2024_5m ~ AAVEUSDT_2024_5m,26.80199377827438,0.0872764379120639,15.487854197526103,138,60.14492753623188,346.7391304347826,0.0022592177521018083,407.7152732275728,28.932770004424405,60.46800097833999,0.5154865357908989,-0.10811181934305553,0.09237196551598295
0,XRPUSDT_2024_5m ~ XLMUSDT_2024_5m,16.834659648111433,0.12559277093382507,6.833673832108886,120,60.83333333333333,303.25,3.857775636686642,44.36613398469551,15.849606284254648,139.33313437810472,0.3162128350019944,0.1728622778452646,0.1808630063370887
0,QNTUSDT_2024_5m ~ XLMUSDT_2024_5m,66.7863584782822,0.27309061650466454,7.467634888777787,122,67.21311475409836,344.05737704918033,1012.154475053812,84.90526001056294,21.111015375393386,41.675433083377804,0.45103012120135677,0.02802939488692197,0.08522909787476024
0,QNTUSDT_2024_5m ~ XRPUSDT_2024_5m,8.375296110076706,0.030112174440547743,26.761299265250127,132,54.54545454545454,399.50757575757575,163.57037051233942,113.48727070657952,28.865227009062306,68.5417127937783,0.5568465416034618,-0.23865630740891675,-0.12560864621244897
0,XRPUSDT_2024_5m ~ ADAUSDT_2024_5m,21.144804177103474,0.13154486402601978,7.320341214730071,124,72.58064516129032,378.75,0.47579482528313016,78.3114252890298,27.191757137499884,123.45223851934412,0.41052047628907795,-0.008074984993903722,0.1257672933135172
0,DOGEUSDT_2024_5m ~ BCHUSDT_2024_5m,18.609025262091453,0.041613178196638644,24.648564928385184,132,62.878787878787875,418.7878787878788,0.00021520608087874742,721.7351651878306,32.710714844462025,80.49029347158118,0.5011810222660396,0.30835993970515563,0.21585942910859302
0,LTCUSDT_2024_5m ~ MKRUSDT_2024_5m,11.392323980488099,0.035337148656645764,19.942891845063343,126,68.25396825396825,412.73809523809524,0.009458660843357787,291.30627188410523,53.74805221381692,7077.408552391886,0.822250781420264,0.3127995583592987,0.1516249679221418
0,NEXOUSDT_2024_5m ~ BTCUSDT_2024_5m,97.36706816604138,0.3634562827145738,4.881089097105065,136,73.52941176470588,278.0147058823529,2.171809410147444e-05,116.234374407132,16.011991140773837,90.76285987910506,0.44770025223740406,0.24549491639281673,0.2139489632808448
0,SHIBUSDT_2024_5m ~ LTCUSDT_2024_5m,2.5196679802956705,0.003800488468376687,48.4756466410259,130,65.38461538461539,391.46153846153845,2.568786358492668e-07,93.76254011922029,24.35318099089448,214.35980214058876,0.5035492384261819,0.3164886766431373,0.06324954887376079
0,BCHUSDT_2024_5m ~ MKRUSDT_2024_5m,4.1879823663377875,0.009021508640005841,27.13845174048571,125,68.8,387.0,0.05012611761636846,353.5832278187996,52.33283553892369,119.7607427140271,0.8385611214338118,0.06930343467573799,-0.015250262292227397
0,BCHUSDT_2024_5m ~ LTCUSDT_2024_5m,12.843468314518658,0.06957411495207429,12.634406888359063,126,61.904761904761905,392.6587301587302,4.573152696987807,452.1433467358831,34.560467444916625,121.85424774313212,0.4962671251527273,0.1065872983771551,0.15421018307503606
