Strategy,Annualized Sharpe Ratio,Max Drawdown (%),Final Return (%),Total # trades,Total # wins,Total # losses,Total # missed trades
Dynamic Agent,4.798069562756665,7.021413451061745,41.961603269498724,259,155,104,83
" Fixed Strategy: Entry=1, Stop=2",3.7873154034081384,7.629824082245388,32.63612338738485,340,192,148,3
" Fixed Strategy: Entry=2, Stop=3",1.8589085286860583,8.842432072254924,16.617659081401552,151,101,50,192
" Fixed Strategy: Entry=4, Stop=5",0.593685408710072,3.5748352264873136,1.791665316251861,11,9,2,332
" Fixed Strategy: Entry=3, Stop=4",-2.781816299059291,15.877713384191692,-15.113295503309196,50,37,12,293
