Strategy,Cumulative Return (%),Annualized Sharpe Ratio,Max Drawdown (%),Total # trades,Total # wins,Total # losses,Total # missed trades
Dynamic Agent,41.961603269498724,4.798069562756665,7.021413451061745,259,155,104,83
" Fixed Strategy: Entry=1, Stop=2",32.63612338738485,3.7873154034081384,7.629824082245388,340,192,148,3
" Fixed Strategy: Entry=2, Stop=3",16.617659081401552,1.8589085286860583,8.842432072254924,151,101,50,192
" Fixed Strategy: Entry=4, Stop=5",1.791665316251861,0.593685408710072,3.5748352264873136,11,9,2,332
" Fixed Strategy: Entry=3, Stop=4",-15.113295503309196,-2.781816299059291,15.877713384191692,50,37,12,293
