timestamp,BNSOL/USDT_2025_15T,SOL/USDT_2025_15T
2025-01-02 13:30:00,213.1,208.4
2025-01-02 13:45:00,212.8,208.17
2025-01-02 14:00:00,212.6,207.92
2025-01-02 14:15:00,213.6,208.73
2025-01-02 14:30:00,213.2,208.35
2025-01-02 14:45:00,213.1,208.2
2025-01-02 15:00:00,212.6,207.76
2025-01-02 15:15:00,211.2,206.64
2025-01-02 15:30:00,210.7,206.03
2025-01-02 15:45:00,211.4,206.77
2025-01-02 16:00:00,212.2,207.2
2025-01-02 16:15:00,212.9,208.28
2025-01-02 16:30:00,213.3,208.78
2025-01-02 16:45:00,212.0,207.45
2025-01-02 17:00:00,212.7,208.0
2025-01-02 17:15:00,212.0,207.41
2025-01-02 17:30:00,210.6,205.88
2025-01-02 17:45:00,211.0,206.05
2025-01-02 18:00:00,210.0,205.41
2025-01-02 18:15:00,210.4,205.85
2025-01-02 18:30:00,211.2,206.47
2025-01-02 18:45:00,211.1,206.44
2025-01-02 19:00:00,211.9,207.09
2025-01-02 19:15:00,212.5,207.75
2025-01-02 19:30:00,212.0,207.3
2025-01-02 19:45:00,211.2,206.69
2025-01-02 20:00:00,211.9,207.3
2025-01-02 20:15:00,212.5,207.75
2025-01-02 20:30:00,212.4,207.49
2025-01-02 20:45:00,211.8,206.82
2025-01-02 21:00:00,211.3,206.54
2025-01-02 21:15:00,211.3,206.55
2025-01-02 21:30:00,210.4,205.6
2025-01-02 21:45:00,211.2,206.54
2025-01-02 22:00:00,210.7,205.91
2025-01-02 22:15:00,210.6,205.97
2025-01-02 22:30:00,211.1,206.44
2025-01-02 22:45:00,211.4,206.6
2025-01-02 23:00:00,211.5,206.81
2025-01-02 23:15:00,212.5,207.91
2025-01-02 23:30:00,212.9,208.15
2025-01-02 23:45:00,212.9,208.31
2025-01-03 00:00:00,212.8,208.05
2025-01-03 00:15:00,212.8,207.83
2025-01-03 00:30:00,212.2,207.2
2025-01-03 00:45:00,212.1,207.15
2025-01-03 01:00:00,210.6,205.97
2025-01-03 01:15:00,211.3,206.58
2025-01-03 01:30:00,210.7,206.03
2025-01-03 01:45:00,211.6,206.86
2025-01-03 02:00:00,212.3,207.37
2025-01-03 02:15:00,212.9,208.09
2025-01-03 02:30:00,212.7,207.48
2025-01-03 02:45:00,211.6,206.87
2025-01-03 03:00:00,211.5,206.78
2025-01-03 03:15:00,211.2,206.33
2025-01-03 03:30:00,211.6,207.03
2025-01-03 03:45:00,212.9,208.05
