pair,pvalue,score
EGLDUSDT_2024_5m & SEIUSDT_2024_5m,2.226879441145696e-06,-5.9361281110890936
ATOMUSDT_2024_5m & CRVUSDT_2024_5m,4.028249525466259e-05,-5.322460366276805
HBARUSDT_2024_5m & GRTUSDT_2024_5m,9.339988202570649e-05,-5.132179186507409
IOTAUSDT_2024_5m & XTZUSDT_2024_5m,0.00011211653910227647,-5.089958525642814
XTZUSDT_2024_5m & SANDUSDT_2024_5m,0.00015222104100863298,-5.018494838490707
FLOWUSDT_2024_5m & ALGOUSDT_2024_5m,0.00022199617548752704,-4.928894091913207
HBARUSDT_2024_5m & WLDUSDT_2024_5m,0.00022648686674360413,-4.924092505702248
AXSUSDT_2024_5m & FILUSDT_2024_5m,0.0003559489264464591,-4.8143890405892975
AXSUSDT_2024_5m & ALGOUSDT_2024_5m,0.0003982071764765124,-4.786762175376048
OPUSDT_2024_5m & SEIUSDT_2024_5m,0.0004228005048799303,-4.771935208892244
IOTAUSDT_2024_5m & ATOMUSDT_2024_5m,0.0004873956574410626,-4.7365622780481775
IOTAUSDT_2024_5m & CRVUSDT_2024_5m,0.0005331132703824864,-4.714110158394955
AXSUSDT_2024_5m & MANAUSDT_2024_5m,0.00058027888081108,-4.692774714203221
GALAUSDT_2024_5m & THETAUSDT_2024_5m,0.0006493902526150489,-4.664292517515119
MANAUSDT_2024_5m & SANDUSDT_2024_5m,0.0006778859216859076,-4.653372394356698
IOTAUSDT_2024_5m & MANAUSDT_2024_5m,0.0010273630600489561,-4.546157560019561
EOSUSDT_2024_5m & FLOWUSDT_2024_5m,0.0013651599103887422,-4.471196003654991
AXSUSDT_2024_5m & SANDUSDT_2024_5m,0.0014147116056521046,-4.46169336782945
IOTAUSDT_2024_5m & SANDUSDT_2024_5m,0.0014978836282031841,-4.446419155000949
INJUSDT_2024_5m & EGLDUSDT_2024_5m,0.001581756823317008,-4.4317957273500985
SANDUSDT_2024_5m & FILUSDT_2024_5m,0.0016978944404160037,-4.412695029285439
MANAUSDT_2024_5m & XTZUSDT_2024_5m,0.001917292841495051,-4.379709011898505
SANDUSDT_2024_5m & CRVUSDT_2024_5m,0.0021367350496230984,-4.350048936307507
FLOWUSDT_2024_5m & FILUSDT_2024_5m,0.002276326248571204,-4.3326174567128355
ALGOUSDT_2024_5m & FILUSDT_2024_5m,0.002496427572369571,-4.30704461912839
HBARUSDT_2024_5m & THETAUSDT_2024_5m,0.0025218929169372843,-4.304221647167277
OPUSDT_2024_5m & EGLDUSDT_2024_5m,0.0026369015870186725,-4.2917913505999215
APTUSDT_2024_5m & AVAXUSDT_2024_5m,0.002765834523219492,-4.278437247747864
XTZUSDT_2024_5m & CRVUSDT_2024_5m,0.0031460936688520007,-4.2421499519573
MANAUSDT_2024_5m & FILUSDT_2024_5m,0.0034022706337270498,-4.21991480561311
