Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Volume
2025-02-04 14:00:00,99007.22000000,100415.00000000,98561.48000000,99984.72000000,3030.76129000,2025-02-04 14:59:59.999,301922615.07445260,445974,1423.43290000,141873378.56465380
2025-02-04 15:00:00,99984.72000000,100223.38000000,98275.98000000,99347.19000000,3087.63726000,2025-02-04 15:59:59.999,306311422.17489800,600891,1380.92732000,136986487.48159430
2025-02-04 16:00:00,99347.18000000,99949.50000000,99028.46000000,99043.48000000,1429.42951000,2025-02-04 16:59:59.999,142157198.32191240,339291,755.27251000,75113005.98970680
2025-02-04 17:00:00,99043.48000000,99613.25000000,98829.64000000,99168.35000000,1585.36646000,2025-02-04 17:59:59.999,157158497.97282630,266689,735.30700000,72899644.92834000
2025-02-04 18:00:00,99168.35000000,99566.66000000,98778.58000000,99415.20000000,900.05624000,2025-02-04 18:59:59.999,89308285.66227760,188803,515.40391000,51148393.08812440
2025-02-04 19:00:00,99415.20000000,100777.93000000,98782.60000000,98859.77000000,2703.09828000,2025-02-04 19:59:59.999,269972641.76766870,477520,1341.61916000,134029982.28770130
2025-02-04 20:00:00,98859.78000000,99444.02000000,97965.63000000,98652.18000000,3369.18259000,2025-02-04 20:59:59.999,332402461.24583000,584647,1535.50511000,151477978.39831420
2025-02-04 21:00:00,98652.18000000,98673.86000000,96422.00000000,96514.47000000,2950.33720000,2025-02-04 21:59:59.999,287215951.42317640,546838,1228.17040000,119565962.87730390
2025-02-04 22:00:00,96514.47000000,97967.40000000,96150.00000000,97691.20000000,2046.93005000,2025-02-04 22:59:59.999,198238833.93729770,339723,987.10926000,95595276.41635220
2025-02-04 23:00:00,97691.20000000,98224.97000000,97473.32000000,97763.13000000,998.97740000,2025-02-04 23:59:59.999,97688634.51915750,196399,461.37432000,45122988.41824090
2025-02-05 00:00:00,97763.14000000,98390.70000000,97711.70000000,98274.01000000,760.72898000,2025-02-05 00:59:59.999,74603921.83433130,220154,364.45017000,35743060.91728880
2025-02-05 01:00:00,98274.01000000,98930.44000000,97662.18000000,97849.82000000,1269.69391000,2025-02-05 01:59:59.999,124834562.48678400,204495,512.10049000,50367820.14415880
2025-02-05 02:00:00,97849.81000000,98192.00000000,97131.43000000,97993.99000000,1357.78340000,2025-02-05 02:59:59.999,132569038.14343000,246879,622.54222000,60783772.10092570
2025-02-05 03:00:00,97994.00000000,98324.16000000,97771.82000000,98040.00000000,651.17813000,2025-02-05 03:59:59.999,63832529.70788760,160391,327.52011000,32108600.55519870
2025-02-05 04:00:00,98040.01000000,98332.41000000,97916.02000000,98046.00000000,624.88451000,2025-02-05 04:59:59.999,61304068.15535930,114256,264.50633000,25961583.34912560
2025-02-05 05:00:00,98045.99000000,98300.00000000,97681.53000000,98138.40000000,775.46553000,2025-02-05 05:59:59.999,76000011.58022510,128527,340.06343000,33331735.95880040
2025-02-05 06:00:00,98138.40000000,98222.00000000,97559.12000000,97652.00000000,913.99827000,2025-02-05 06:59:59.999,89402595.63107080,161734,319.66195000,31270622.77230680
2025-02-05 07:00:00,97652.00000000,97984.53000000,97352.77000000,97864.43000000,919.15325000,2025-02-05 07:59:59.999,89709254.47563510,149063,418.29663000,40846290.03448180
2025-02-05 08:00:00,97864.43000000,98038.00000000,97572.00000000,97634.24000000,516.01346000,2025-02-05 08:59:59.999,50451303.14226180,127088,298.83269000,29216348.42485650
2025-02-05 09:00:00,97634.25000000,97970.61000000,97257.05000000,97405.61000000,787.76544000,2025-02-05 09:59:59.999,76870800.82581270,150398,411.25802000,40133022.28492430
