Unnamed: 0,Pair,Total return (%),Sharpe ratio,Max drawdown (%),Number of trades,Non-stop loss win rate (%),Mean trade duration/Reversion speed from threshold (mins),Average entry beta,Median Absolute Percent Delta Beta (%),Beta series returns MAD (%),Average S1 trade returns (%),Average S2 trade returns (%)
0,EGLDUSDT_2024_5m ~ SEIUSDT_2024_5m,-21.66000916160734,-0.0491400026795905,40.2497264921606,122,50.81967213114754,432.0491803278688,38.047275853298984,29.706213829718145,0.4776341565070341,0.0621488077129194,0.4470666739180696
0,ATOMUSDT_2024_5m ~ CRVUSDT_2024_5m,-19.46104599242889,-0.0500133254578591,33.668676672963414,105,49.523809523809526,449.1904761904762,9.792938292408122,29.687707123871764,0.438847846207091,0.4525262222256663,-0.0706638388102039
0,HBARUSDT_2024_5m ~ GRTUSDT_2024_5m,-29.91829976601884,-0.0484957732271664,52.24804585569832,116,59.48275862068966,411.6810344827586,0.2041727079407866,25.675587651235144,0.4476692179920194,0.9046314748069816,0.2025530192862387
0,IOTAUSDT_2024_5m ~ XTZUSDT_2024_5m,12.442099819834231,0.0501950039721747,16.365735064292224,119,57.98319327731093,394.11764705882354,0.2156019632841714,22.736492376157813,0.3486959497493336,-0.0716087221615721,0.0841844226743991
0,XTZUSDT_2024_5m ~ SANDUSDT_2024_5m,35.18362186197055,0.2442604804383964,11.460668344454598,121,72.72727272727273,386.73553719008265,1.5149032704826513,17.21897325726504,0.295141023662071,0.3229820967454435,0.1231318713005003
0,FLOWUSDT_2024_5m ~ ALGOUSDT_2024_5m,15.633735292288678,0.0711728780993693,23.237708090256,131,60.30534351145038,371.60305343511453,4.334898274875874,12.93883365550085,0.3026758919877359,0.0426945447110163,0.0593670248090424
0,HBARUSDT_2024_5m ~ WLDUSDT_2024_5m,-52.21063044366693,-0.0675142614987509,68.64028607503265,119,57.14285714285714,434.873949579832,0.0097574578160893,38.320513789341376,0.5351050104033472,0.4904138053139529,-0.277240525704237
0,AXSUSDT_2024_5m ~ FILUSDT_2024_5m,7.352692227512926,0.0348034177277025,15.274836344703106,122,67.21311475409836,345.12295081967216,1.0166839563230026,21.57331107460068,0.3806809092155694,-0.358142046577404,-0.1285836881623944
0,AXSUSDT_2024_5m ~ ALGOUSDT_2024_5m,25.633083643632347,0.0611462661010958,21.993040093735637,128,53.90625,358.7109375,34.64003732607438,18.061542022094052,0.3001560380594958,0.0238008169913706,0.1800813761500392
0,OPUSDT_2024_5m ~ SEIUSDT_2024_5m,-20.166072476406494,-0.0804157566377808,24.615747435990563,103,60.19417475728155,444.6601941747573,2.30524860969364,42.01037646335756,0.6013312192090225,0.1032460266396559,0.1150182555216734
0,IOTAUSDT_2024_5m ~ ATOMUSDT_2024_5m,-8.260463916186952,-0.0286403217712547,18.78301996295119,121,58.67768595041323,391.1157024793389,0.0249814586945455,30.82804249949938,0.3933619261708765,-0.2528395351241375,-0.0166154899880012
0,IOTAUSDT_2024_5m ~ CRVUSDT_2024_5m,22.78114067246783,0.1056352826094872,8.984444015270656,116,62.06896551724138,395.38793103448273,0.3806823211838513,26.974471415065672,0.3810002195369755,0.3800107233099206,0.3088026707981758
0,AXSUSDT_2024_5m ~ MANAUSDT_2024_5m,1.6501232073387884,0.0053671356156562,28.872529646215018,117,51.28205128205128,360.12820512820514,16.500546457321317,12.777059774466627,0.228000888908697,-0.3899490085759109,-0.2557364419153298
0,GALAUSDT_2024_5m ~ THETAUSDT_2024_5m,9.56254615033729,0.0204607469770575,32.911411937648865,117,56.41025641025641,452.6923076923077,0.0115605520497385,29.72653118796272,0.4256769412992689,0.3491857286250921,-0.055790376203683
0,MANAUSDT_2024_5m ~ SANDUSDT_2024_5m,16.86363601052558,0.298486433790531,2.4753766011921963,108,74.07407407407408,360.60185185185185,0.896456335495675,8.735687827085405,0.1602622933049802,-0.3509734800083873,-0.231475661533892
0,IOTAUSDT_2024_5m ~ MANAUSDT_2024_5m,31.507573593520853,0.1606829563323038,9.23611544851343,131,70.22900763358778,368.4351145038168,0.43898753038893,20.32300682810288,0.2996869731001106,-0.0865335185233941,0.1267344346879023
0,EOSUSDT_2024_5m ~ FLOWUSDT_2024_5m,-4.343076437151741,-0.0250742109313344,14.507348810000554,124,63.70967741935484,400.5241935483871,0.5018922074710409,20.853909213359053,0.3504034142347234,0.0732644447450727,-0.0126106209434353
0,AXSUSDT_2024_5m ~ SANDUSDT_2024_5m,38.7169481130684,0.1166151449393312,17.362417527523075,129,62.7906976744186,376.6279069767442,16.063325370038996,11.20968943743975,0.2135707475485859,-0.55474552209695,-0.5953181938273233
0,IOTAUSDT_2024_5m ~ SANDUSDT_2024_5m,32.79935241595085,0.1809000632155094,6.721376587942113,133,61.65413533834586,343.30827067669173,0.4868131086670022,17.593200707582458,0.2890019235876284,0.2040076893289491,0.0572388127029268
0,INJUSDT_2024_5m ~ EGLDUSDT_2024_5m,31.68857561485341,0.1352175741703349,11.44534435435174,114,63.1578947368421,398.0701754385965,0.5720181930403523,28.48675741996221,0.5115219094912193,0.6688284251420266,0.2718421923646691
0,SANDUSDT_2024_5m ~ FILUSDT_2024_5m,60.56647446549977,0.2174262643720775,17.0852850100801,126,66.66666666666666,383.13492063492066,0.0490491290847639,20.303975697556034,0.332167178011411,-0.0175499483015395,0.1589108795868922
0,MANAUSDT_2024_5m ~ XTZUSDT_2024_5m,32.81533589284056,0.2123848739132512,5.051206303324638,111,66.66666666666666,357.7927927927928,0.3592050031454705,17.667877243861522,0.3159639953969284,0.2153528016019497,0.1618783669280865
