Strategy,Annualized Sharpe Ratio,Max Drawdown (%),Cumulative Return (%),Total # trades,Total # wins,Total # losses,Total # missed trades
Dynamic Agent,4.431849069173751,2.101868412292728,8.176672879094697,249,150,99,88
" Fixed Strategy: Entry=2, Stop=3",3.3978008404194093,4.139099405981049,6.567326245546837,149,100,49,189
" Fixed Strategy: Entry=3, Stop=4",3.6914474805134887,1.059329726996832,4.752517446850796,51,45,6,287
" Fixed Strategy: Entry=1, Stop=2",1.538960060780734,3.8423140516338057,3.199451089740778,338,184,153,0
" Fixed Strategy: Entry=4, Stop=5",0.5080360825547596,0.1497648032723517,0.28977545139758404,8,7,1,330
