Pair,Total Trade Return (%),Average Trade Return (%),Standard Deviation of Trade Returns (%),Max Drawdown (%),Total number of trades,Total Net Profit (€),Total Profit from S1 Leg (€),Total Profit from S2 Leg (€),Percentage Contribution from S1 Leg (%),Percentage Contribution from S2 Leg (%),Standard Deviation of S1 Returns (%),Standard Deviation of S2 Returns (%),Volatility_ratio S1 to S2,Average Trade Duration (minutes),Average Entry Beta,Average Beta Mismatch,Average Maximum Beta Mismatch,Average Assymetry Ratio,Average Trade Percent Change in S1 (%),Average Trade Percent Change in S2 (%),Average Spread Series,Standard Deviation of Spread Series Returns (%),Standard Deviation of Beta Series Returns (%)
BTC/USDT_2024_1m ~ WBTC/USDT_2024_1m,147.19401003804373,0.1150852306786893,0.0718356977018459,-0.6275688098738152,1279,14719.401003804376,-4422.489171181737,19141.890174986107,-30.045306667293737,130.04530666729372,0.0757714668313653,0.089220525829859,0.8492604826815227,11.622361219702892,0.9837260795888088,17.753992582924184,161.47891979478806,12373.100576898263,0.0151976815205203,0.0086379287944571,-1.404369762727094,21339.74317071238,0.0305510513891079
WBETH/USDT_2024_1m ~ ETH/USDT_2024_1m,201.3878895184069,0.1132028608872438,0.0777251807502135,-0.1132433806081487,1779,20138.788951840623,25515.458858166025,-5376.669906325338,126.69807960738366,-26.698079607383377,0.1029192278930557,0.0872453088353593,1.179653430848353,5.40584598088814,1.0343795832837146,8.584298253423693,22.117074072587744,382.455500315755,-0.0268120024404444,0.0243168288364858,0.1993741551838506,103905.869348245,0.0208637034298568
GALA/USDT_2024_1m ~ GRT/USDT_2024_1m,35.847365898380495,0.2405863483112784,3.669487199005688,-119.12159392108832,149,3584.736589838047,3386.5838742854735,198.15271555257655,94.47232144994156,5.527678550058508,0.178297222980398,0.1608280675502673,1.1086200667347483,333.40939597315435,0.1032235047415671,0.2202152018171443,1.9792378311186165,17.07261397654422,0.4608833679557246,0.0563044744186229,0.000131779423514,10369.25578704775,51.9708389390672
XRP/USDT_2024_1m ~ ADA/USDT_2024_1m,25.21616786587274,0.1669944891779652,1.194300158751432,-1426.8257569163673,151,2521.616786587273,1443.573260239417,1078.0435263478564,57.247923947759425,42.7520760522406,0.1026353412391296,0.1197882391205528,0.8568064944659487,330.7549668874172,0.4858322260947798,1.1459554652039028,13.457314505313253,9.078868087120096,0.096474569462004,0.1474338429039469,0.0003063344466156,1282.7862058645385,64.66020978272049
